Ephemeris time,Sol,x1,y1,z1,vx1,vy1,vz1,ang,x2,y2,z2,vx2,vy2,vz2,ang1,px,py,pz,ang3,hga,sol and time
515678490.2,1331,-33195960.35,-70755145.75,-31113110.31,-0.352,8.013,2.642,280.596,33197663.11,70758772.8,31114704.89,0.35,-8.017,-2.644,280.611,33197663.11,70758772.8,31114704.89,280.611,89.518, 1/01331:19:27:28:51713
515678491.2,1331,-33195960.7,-70755137.74,-31113107.66,-0.352,8.013,2.642,280.596,33197663.46,70758764.78,31114702.25,0.35,-8.017,-2.644,280.611,33197663.46,70758764.78,31114702.25,280.611,89.521, 1/01331:19:27:29:49037
515678492.2,1331,-33195961.05,-70755129.73,-31113105.02,-0.352,8.013,2.642,280.596,33197663.81,70758756.76,31114699.6,0.35,-8.017,-2.644,280.611,33197663.81,70758756.76,31114699.6,280.611,89.524, 1/01331:19:27:30:46361
515678493.2,1331,-33195961.41,-70755121.71,-31113102.38,-0.352,8.013,2.642,280.596,33197664.16,70758748.75,31114696.96,0.35,-8.017,-2.644,280.611,33197664.16,70758748.75,31114696.96,280.611,89.527, 1/01331:19:27:31:43686
515678494.2,1331,-33195961.76,-70755113.7,-31113099.74,-0.352,8.013,2.642,280.596,33197664.51,70758740.73,31114694.32,0.35,-8.017,-2.644,280.611,33197664.51,70758740.73,31114694.32,280.611,89.53, 1/01331:19:27:32:41010
515678495.2,1331,-33195962.11,-70755105.69,-31113097.1,-0.352,8.013,2.642,280.596,33197664.86,70758732.71,31114691.67,0.35,-8.017,-2.644,280.611,33197664.86,70758732.71,31114691.67,280.611,89.533, 1/01331:19:27:33:38335
515678496.2,1331,-33195962.46,-70755097.67,-31113094.46,-0.352,8.013,2.642,280.596,33197665.21,70758724.7,31114689.03,0.35,-8.017,-2.644,280.611,33197665.21,70758724.7,31114689.03,280.611,89.536, 1/01331:19:27:34:35659
515678497.2,1331,-33195962.81,-70755089.66,-31113091.81,-0.352,8.013,2.642,280.596,33197665.56,70758716.68,31114686.39,0.35,-8.017,-2.644,280.611,33197665.56,70758716.68,31114686.39,280.611,89.539, 1/01331:19:27:35:32984
515678498.2,1331,-33195963.16,-70755081.65,-31113089.17,-0.352,8.013,2.642,280.596,33197665.91,70758708.66,31114683.74,0.35,-8.017,-2.644,280.611,33197665.91,70758708.66,31114683.74,280.611,89.542, 1/01331:19:27:36:30308
515678499.2,1331,-33195963.52,-70755073.63,-31113086.53,-0.352,8.013,2.642,280.596,33197666.26,70758700.64,31114681.1,0.35,-8.017,-2.643,280.611,33197666.26,70758700.64,31114681.1,280.611,89.545, 1/01331:19:27:37:27632
515678500.2,1331,-33195963.87,-70755065.62,-31113083.89,-0.352,8.013,2.642,280.596,33197666.61,70758692.63,31114678.46,0.35,-8.017,-2.643,280.611,33197666.61,70758692.63,31114678.46,280.611,89.548, 1/01331:19:27:38:24957
515678501.2,1331,-33195964.22,-70755057.61,-31113081.25,-0.352,8.013,2.642,280.596,33197666.96,70758684.61,31114675.81,0.35,-8.017,-2.643,280.61,33197666.96,70758684.61,31114675.81,280.61,89.551, 1/01331:19:27:39:22281
515678502.2,1331,-33195964.57,-70755049.59,-31113078.6,-0.352,8.013,2.642,280.596,33197667.31,70758676.59,31114673.17,0.35,-8.017,-2.643,280.61,33197667.31,70758676.59,31114673.17,280.61,89.554, 1/01331:19:27:40:19606
515678503.2,1331,-33195964.92,-70755041.58,-31113075.96,-0.352,8.013,2.642,280.596,33197667.66,70758668.58,31114670.53,0.35,-8.017,-2.643,280.61,33197667.66,70758668.58,31114670.53,280.61,89.558, 1/01331:19:27:41:16930
515678504.2,1331,-33195965.27,-70755033.57,-31113073.32,-0.352,8.013,2.642,280.596,33197668.01,70758660.56,31114667.88,0.35,-8.017,-2.643,280.61,33197668.01,70758660.56,31114667.88,280.61,89.561, 1/01331:19:27:42:14255
515678505.2,1331,-33195965.63,-70755025.55,-31113070.68,-0.352,8.013,2.642,280.596,33197668.36,70758652.54,31114665.24,0.35,-8.017,-2.643,280.61,33197668.36,70758652.54,31114665.24,280.61,89.564, 1/01331:19:27:43:11579
515678506.2,1331,-33195965.98,-70755017.54,-31113068.04,-0.352,8.013,2.642,280.596,33197668.71,70758644.52,31114662.6,0.35,-8.017,-2.643,280.61,33197668.71,70758644.52,31114662.6,280.61,89.567, 1/01331:19:27:44:08903
